source,candidate,station,y_mm,chord_mm,reflex_deg,twist_deg,hinge_xc,te_thickness_mm,hinge_gap_mm,speed_kmh,reynolds,ncrit,deflection_deg_te_down_positive,alpha_deg,cl,cd,cm_c4
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-7.200000,-0.4123000,0.0173200,-0.0412000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-6.700000,-0.3635000,0.0159500,-0.0399000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-6.200000,-0.3151000,0.0144700,-0.0387000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-5.700000,-0.2647000,0.0135200,-0.0379000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-5.200000,-0.2125000,0.0129200,-0.0371000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-4.700000,-0.1605000,0.0124300,-0.0360000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-4.200000,-0.1070000,0.0119900,-0.0353000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-3.700000,-0.0539000,0.0115800,-0.0343000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-3.200000,-0.0002000,0.0112200,-0.0334000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-2.700000,0.0529000,0.0108900,-0.0321000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-2.200000,0.1069000,0.0106300,-0.0311000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-1.700000,0.1609000,0.0103300,-0.0301000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-1.200000,0.2140000,0.0098700,-0.0286000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-0.700000,0.2949000,0.0095600,-0.0328000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,-0.200000,0.3500000,0.0097100,-0.0325000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,0.300000,0.4055000,0.0099100,-0.0322000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,0.800000,0.4612000,0.0101500,-0.0320000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,1.300000,0.5168000,0.0104400,-0.0318000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,5.0,1.800000,0.5722000,0.0108000,-0.0317000
